t =25.00;curr score = -86.34
t =24.75;curr score = -85.94
t =24.50;curr score = -85.77
t =24.26;curr score = -84.37
t =24.01;curr score = -83.27
t =23.77;curr score = -82.19
t =23.54;curr score = -82.24
t =23.30;curr score = -81.89
t =23.07;curr score = -82.68
t =22.84;curr score = -82.32
t =22.61;curr score = -82.02
t =22.38;curr score = -83.45
t =22.16;curr score = -83.04
t =21.94;curr score = -82.52
t =21.72;curr score = -83.70
t =21.50;curr score = -84.30
t =21.29;curr score = -84.22
t =21.07;curr score = -84.16
t =20.86;curr score = -83.93
t =20.65;curr score = -82.68
t =20.45;curr score = -79.94
t =20.24;curr score = -80.18
t =20.04;curr score = -79.23
t =19.84;curr score = -80.42
t =19.64;curr score = -80.39
t =19.45;curr score = -80.59
t =19.25;curr score = -81.47
t =19.06;curr score = -81.35
t =18.87;curr score = -81.69
t =18.68;curr score = -81.71
t =18.49;curr score = -81.79
t =18.31;curr score = -80.16
t =18.12;curr score = -81.16
t =17.94;curr score = -80.54
t =17.76;curr score = -81.09
t =17.59;curr score = -80.28
t =17.41;curr score = -80.24
t =17.24;curr score = -79.79
t =17.06;curr score = -79.68
t =16.89;curr score = -78.41
t =16.72;curr score = -77.28
t =16.56;curr score = -76.29
t =16.39;curr score = -76.71
t =16.23;curr score = -76.16
t =16.07;curr score = -75.69
t =15.90;curr score = -76.16
t =15.75;curr score = -75.69
t =15.59;curr score = -76.16
t =15.43;curr score = -75.69
t =15.28;curr score = -76.16
t =15.13;curr score = -75.69
t =14.97;curr score = -76.16
t =14.82;curr score = -75.69
t =14.68;curr score = -76.16
t =14.53;curr score = -75.69
t =14.38;curr score = -76.16
t =14.24;curr score = -75.69
t =14.10;curr score = -76.16
t =13.96;curr score = -75.69
t =13.82;curr score = -76.16
t =13.68;curr score = -75.69
t =13.54;curr score = -76.16
t =13.41;curr score = -75.69
t =13.27;curr score = -76.16
t =13.14;curr score = -75.69
t =13.01;curr score = -76.07
t =12.88;curr score = -75.69
t =12.75;curr score = -76.16
t =12.62;curr score = -75.69
t =12.50;curr score = -76.16
t =12.37;curr score = -75.69
t =12.25;curr score = -76.16
t =12.12;curr score = -75.69
t =12.00;curr score = -76.16
t =11.88;curr score = -75.69
t =11.76;curr score = -76.16
t =11.65;curr score = -75.69
t =11.53;curr score = -76.16
t =11.42;curr score = -75.69
t =11.30;curr score = -76.16
t =11.19;curr score = -75.69
t =11.08;curr score = -76.16
t =10.97;curr score = -75.69
t =10.86;curr score = -76.16
t =10.75;curr score = -75.69
t =10.64;curr score = -76.16
t =10.53;curr score = -75.69
t =10.43;curr score = -76.16
t =10.32;curr score = -75.69
t =10.22;curr score = -76.07
t =10.12;curr score = -75.69
t =10.02;curr score = -76.16
t =9.92;curr score = -75.69
t =9.82;curr score = -76.16
t =9.72;curr score = -75.69
t =9.62;curr score = -76.16
t =9.53;curr score = -75.69
t =9.43;curr score = -76.16
t =9.34;curr score = -75.69
t =9.24;curr score = -76.16
t =9.15;curr score = -75.69
t =9.06;curr score = -76.16
t =8.97;curr score = -75.69
t =8.88;curr score = -76.16
t =8.79;curr score = -75.69
t =8.70;curr score = -76.16
t =8.62;curr score = -75.69
t =8.53;curr score = -76.16
t =8.44;curr score = -75.69
t =8.36;curr score = -76.16
t =8.28;curr score = -75.69
t =8.19;curr score = -76.16
t =8.11;curr score = -75.69
t =8.03;curr score = -76.16
t =7.95;curr score = -75.69
t =7.87;curr score = -76.16
t =7.79;curr score = -75.69
t =7.71;curr score = -76.16
t =7.64;curr score = -75.69
t =7.56;curr score = -76.16
t =7.48;curr score = -75.69
t =7.41;curr score = -76.16
t =7.34;curr score = -75.69
t =7.26;curr score = -76.16
t =7.19;curr score = -75.69
t =7.12;curr score = -76.16
t =7.05;curr score = -75.69
t =6.98;curr score = -76.16
t =6.91;curr score = -75.69
t =6.84;curr score = -76.16
t =6.77;curr score = -75.69
t =6.70;curr score = -76.16
t =6.63;curr score = -75.69
t =6.57;curr score = -76.16
t =6.50;curr score = -75.69
t =6.44;curr score = -76.16
t =6.37;curr score = -75.69
t =6.31;curr score = -76.16
t =6.25;curr score = -75.69
t =6.18;curr score = -76.16
t =6.12;curr score = -75.69
t =6.06;curr score = -76.07
t =6.00;curr score = -75.69
t =5.94;curr score = -76.16
t =5.88;curr score = -75.69
t =5.82;curr score = -76.16
t =5.76;curr score = -75.69
t =5.71;curr score = -76.16
t =5.65;curr score = -75.69
t =5.59;curr score = -76.16
t =5.54;curr score = -75.69
t =5.48;curr score = -76.16
t =5.43;curr score = -75.69
t =5.37;curr score = -76.16
t =5.32;curr score = -75.69
t =5.26;curr score = -76.16
t =5.21;curr score = -75.69
t =5.16;curr score = -76.16
t =5.11;curr score = -75.69
t =5.06;curr score = -76.07
t =5.01;curr score = -75.69
t =4.96;curr score = -76.16
t =4.91;curr score = -75.69
t =4.86;curr score = -76.16
t =4.81;curr score = -75.69
t =4.76;curr score = -76.16
t =4.71;curr score = -75.69
t =4.67;curr score = -76.16
t =4.62;curr score = -75.69
t =4.57;curr score = -76.16
t =4.53;curr score = -75.69
t =4.48;curr score = -76.16
t =4.44;curr score = -75.69
t =4.39;curr score = -76.16
t =4.35;curr score = -75.69
t =4.31;curr score = -76.16
t =4.26;curr score = -75.69
t =4.22;curr score = -76.16
t =4.18;curr score = -75.69
t =4.14;curr score = -76.16
t =4.10;curr score = -75.69
t =4.05;curr score = -76.16
t =4.01;curr score = -75.69
t =3.97;curr score = -76.16
t =3.93;curr score = -75.69
t =3.89;curr score = -76.16
t =3.86;curr score = -75.69
t =3.82;curr score = -76.16
t =3.78;curr score = -75.69
t =3.74;curr score = -76.16
t =3.70;curr score = -75.69
t =3.67;curr score = -76.16
t =3.63;curr score = -75.69
t =3.59;curr score = -75.96
t =3.56;curr score = -75.69
t =3.52;curr score = -76.16
t =3.49;curr score = -75.69
t =3.45;curr score = -76.16
t =3.42;curr score = -75.69
t =3.38;curr score = -76.16
t =3.35;curr score = -75.69
t =3.32;curr score = -76.16
t =3.28;curr score = -75.69
t =3.25;curr score = -76.16
t =3.22;curr score = -75.69
t =3.19;curr score = -76.16
t =3.15;curr score = -75.69
t =3.12;curr score = -76.16
t =3.09;curr score = -75.69
t =3.06;curr score = -76.16
t =3.03;curr score = -75.69
t =3.00;curr score = -76.16
t =2.97;curr score = -75.69
t =2.94;curr score = -76.07
t =2.91;curr score = -75.69
t =2.88;curr score = -76.16
t =2.85;curr score = -75.69
t =2.82;curr score = -76.16
t =2.80;curr score = -75.69
t =2.77;curr score = -76.16
t =2.74;curr score = -75.69
t =2.71;curr score = -76.07
t =2.69;curr score = -75.69
t =2.66;curr score = -76.16
t =2.63;curr score = -75.69
t =2.61;curr score = -76.16
t =2.58;curr score = -75.69
t =2.55;curr score = -76.16
t =2.53;curr score = -75.69
t =2.50;curr score = -76.16
t =2.48;curr score = -75.69
t =2.45;curr score = -76.16
t =2.43;curr score = -75.69
t =2.40;curr score = -76.16
t =2.38;curr score = -75.69
t =2.36;curr score = -76.16
t =2.33;curr score = -75.69
t =2.31;curr score = -76.16
t =2.29;curr score = -75.69
t =2.26;curr score = -76.07
t =2.24;curr score = -75.69
t =2.22;curr score = -76.16
t =2.20;curr score = -75.69
t =2.17;curr score = -76.16
t =2.15;curr score = -75.69
t =2.13;curr score = -76.07
t =2.11;curr score = -75.69
t =2.09;curr score = -76.16
t =2.07;curr score = -75.69
t =2.05;curr score = -76.16
t =2.03;curr score = -75.69
t =2.01;curr score = -76.16
t =1.99;curr score = -75.69
t =1.97;curr score = -75.96
t =1.95;curr score = -75.69
t =1.93;curr score = -76.16
t =1.91;curr score = -75.69
t =1.89;curr score = -76.16
t =1.87;curr score = -75.69
t =1.85;curr score = -76.16
t =1.83;curr score = -75.69
t =1.81;curr score = -76.16
t =1.80;curr score = -75.69
t =1.78;curr score = -76.16
t =1.76;curr score = -75.69
t =1.74;curr score = -76.16
t =1.73;curr score = -75.69
t =1.71;curr score = -76.16
t =1.69;curr score = -75.69
t =1.67;curr score = -75.96
t =1.66;curr score = -75.69
t =1.64;curr score = -76.16
t =1.62;curr score = -75.69
t =1.61;curr score = -75.96
t =1.59;curr score = -75.69
t =1.58;curr score = -76.16
t =1.56;curr score = -75.69
t =1.54;curr score = -76.16
t =1.53;curr score = -75.69
t =1.51;curr score = -76.07
t =1.50;curr score = -75.69
t =1.48;curr score = -76.16
t =1.47;curr score = -75.69
t =1.45;curr score = -76.16
t =1.44;curr score = -75.69
t =1.43;curr score = -76.16
t =1.41;curr score = -75.69
t =1.40;curr score = -74.41
t =1.38;curr score = -74.35
t =1.37;curr score = -74.47
t =1.36;curr score = -74.35
t =1.34;curr score = -74.47
t =1.33;curr score = -74.35
t =1.32;curr score = -74.47
t =1.30;curr score = -74.35
t =1.29;curr score = -74.47
t =1.28;curr score = -74.35
t =1.26;curr score = -74.47
t =1.25;curr score = -74.35
t =1.24;curr score = -74.47
t =1.23;curr score = -74.35
t =1.21;curr score = -74.47
t =1.20;curr score = -74.35
t =1.19;curr score = -75.30
t =1.18;curr score = -74.11
t =1.17;curr score = -74.12
t =1.15;curr score = -73.11
t =1.14;curr score = -73.40
t =1.13;curr score = -73.44
